icao24,r,t
868EC0,JA779A,B77W
502C2F,YL-BBE,B735
771000,4R-ADA,A343
424258,VP-BME,A320
49D08B,OK-CGT,B734
4784BF,LN-NOG,B738
484559,PH-BGB,B738
A5EF0E,N48127,B752
48401C,PH-BDA,B733
478065,LN-BUG,B735
3C6121,D-AHIA,B737
4840D4,PH-KZB,F70
4D0138,LX-NCV,B744
4401AA,OE-INC,GL5T
A49A50,N396NS,GLF4
0A0018,7T-VJJ,B738
45CE4A,OY-SRJ,B762
7500D7,M53-01,B737
71BC89,HL7489,B744
3CC57E,D-CCCC,SW4
3C4924,D-ABID,B735
A21BFE,N235KK,GLF4
3C4B13,D-ABXS,B733
800389,VT-JEK,B77W
45CE48,OY-SRH,B762
449122,OO-DIB,A30B
400CD6,G-EZIW,A319
400587,G-BIKJ,B752
AE152C,166378,GLF5
400660,G-BIKV,B752
A8058A,N616FE,MD11
A2BCDD,N276AY,A333
400F28,G-MPSA,BK17
A9F2A0,N740AX,B762
A0F7C1,N1610D,B763
3C4AA1,D-ABUA,B763
A6329D,N499MC,B744
4BA88D,TC-JDM,A343
AB4489,N825MH,B764
C2B3D7,177701,C17
A15703,N186AN,B752
78014C,B-HUJ,B744
AABD7F,N791UA,B772
AD0EFF,N940UW,B752
AB2C0C,N819NW,A333
3A2DD5,F-OLOV,A343
A05614,N1200K,B763
3C4ACD,D-ABVM,B744
3C4E4B,D-ACRK,CRJ2
A9ACB8,N722TW,B752
4400C3,OE-LDC,A319
43C172,ZZ172,C17
A3D3A5,N346AN,B763
A43667,N37018,B772
3C4A8C,D-ABTL,B744
4CA555,EI-RJI,RJ85
AA92FA,N78003,B772
A8A87E,N657UA,B763
401356,G-LWDC,CL60
C014BC,15005,A310
30005C,I-BIXI,A321
A2A693,N270AY,A333
44CE6B,OO-SSK,A319
40060A,G-WOWC,DH8C
405C63,G-FCAP,C560
401087,G-MEGN,BE20
473402,HA-LPB,A320
400873,G-CFAA,RJ1H
A92965,N69LP,
401296,G-NSJS,C680
AD0538,N938UW,B752
4009D4,G-FRAT,FA20
400FBB,G-BMKD,BE9L
402DDB,G-SDAY,AS50
A1863B,N198DN,B763
4B161C,HB-IJS,A320
403163,G-BSEU,P28A
3945B3,F-GRNT,SW3
4AC89A,SE-RDZ,GLF5
400FB7,G-PETS,DA42
484371,PH-BQK,B772
A05A03,N12116,B752
C2AE91,130305,C130
343282,EC-KUL,AT72
40117A,G-ONPA,PA31
AAAC4A,N787UA,B772
43E793,M-ONEM,GLF5
3C6615,D-AIPU,A320
A0F51E,N1608,B763
4CA762,EI-EFG,B738
3001F6,I-EEZJ,A332
43C205,ZE395,H25A
39472D,F-GRZN,CRJ7
A43EF1,N373AA,B763
ABDA48,N863DA,B772
400BC4,G-HRDS,GLF5
4BA8E4,TC-JGD,B738
405704,G-XONE,CL60
4CA4E6,EI-DPB,B738
478040,LN-RMD,MD82
4403D3,OE-GVA,LJ40
43C0D2,XZ296,GAZL
396440,F-GZCA,A332
06A041,A7-AEG,A333
405504,G-CGIJ,A139
405913,G-OOWS,AS50
3C5EEC,D-AGWL,A319
461F66,OH-LXE,A320
40609F,G-JPSZ,F900
4CC2A6,TF-FIO,B752
A6A77E,N528JR,GLEX
401ED5,G-BICW,P28A
401070,G-IMEC,PA31
491312,CS-DXR,C56X
401185,G-SIZZ,JAB4
4011B8,G-BBPX,PA34
404918,G-PFCL,C172
AA28F2,N754AN,B772
3CD50B,D-CHZF,C550
4055A9,G-KPEI,C560
AE117E,02-1112,C17
8960DF,A6-EBX,B77W
4780A2,LN-RPG,B736
405B68,G-EZDO,A319
404D82,G-RISY,RV7
43E78C,M-HOIL,LJ60
3CEE5D,D-CRON,C56X
4840E6,PH-KZI,F70
424184,VP-CLL,E135
40291D,G-ESME,C182
4D00E7,LX-LGD,DH8D
49130E,CS-DXN,C56X
A2060E,N2299L,BE33
43C52B,ZD274,LYNX
A7C74B,N600AM,CL60
AE0411,163919,E6
0AA004,8P-MSD,GLF5
3C650D,D-AIHM,A346
424252,VP-BGM,CL60
440BB8,OE-LAX,B763
0D0420,XA-PTR,CL60
E47EC4,PR-FNP,C750
4BAA41,TC-JRA,A321
7C4837,VH-OJT,B744
4B38F0,HB-VOQ,H25C
4240F0,VP-BYP,B735
405637,G-EZDI,A319
4D028B,LX-TWO,LJ35
40161A,G-ATAF,C172
4689A4,SX-BMD,B734
3414C2,EC-HOB,F900
400B23,G-MAFI,D228
4910C3,CS-DFC,F2TH
AA461A,N761JU,C210
391554,F-GFKU,A320
34168C,EC-INZ,A320
8960AE,A6-MMM,B744
A1811C,N1962J,C750
424057,VP-BQT,A321
710016,HZ-AIW,B744
484502,PH-KBB,BE9L
3C660D,D-AIPM,A320
404E42,G-TRYX,EN48
C055AD,C-GGLO,GL5T
506C1D,S5-ALA,E145
018041,5A-ONF,A332
4B1661,HB-IMJ,GLF5
43C5C5,ZF511,TUCA
01007E,SU-BAM,C130
8961B4,A6-COM,B744
4910C5,CS-DFE,F2TH
478320,LN-RPY,B736
45AC50,OY-KBP,A319
4B1614,HB-IJK,A320
740522,JY-AIB,A342
440CC2,OE-GBB,D328
4692D5,SX-DVU,A320
49528C,CS-TTL,A319
7608EC,AP-BGL,B772
AE145E,06-6160,C17
400E2F,G-BEAG,PA34
A4334F,N37VB,C421
A61090,N490EV,B742
342582,EC-KDT,A320
4C05A0,YU-BNA,FA50
A394B0,N33NP,C510
4009D0,G-FRAO,FA20
4001EF,VP-CJN,B721
0D80E9,YV2485,F900
4402E8,OE-GEH,C56X
4007B3,G-SPUR,C550
4A8024,SE-DIR,MD81
7103F0,HZ-HA1,GLF2
A5AFEA,N466AE,C525
401341,G-EGWN,CH7A
400FBE,G-OCCG,DA40
400D02,G-CTCF,DA42
4844DF,PH-OFO,F100
404605,G-CBFA,DA40
4402C0,OE-INB,F900
343194,EC-KRH,A320
3C656C,D-AIKL,
738076,4X-ECF,B772
402206,G-JDEE,TRIN
43C0A2,XV104,VC10
44024E,OE-LVM,F100
403DAF,G-GDER,
4911AF,CS-DMO,BE40
400986,G-MAJD,JS41
867556,JA706J,B772
401AE9,G-BBLU,PA34
30016B,I-BIMF,A319
43E788,M-LNDN,EC55
4CA725,EI-ECM,B738
AA2A12,N754NA,B752
4B1620,HB-IJW,A320
400E6B,G-MRRR,H500
4784EE,LN-KHC,B733
3C4925,D-ABIE,B735
732428,EP-IAH,B742
45ACC5,OY-KFE,CRJ9
3949E4,F-GSPE,B772
3929A1,F-GKNB,AT43
0292A9,TS-IML,A320
3C4D01,D-ACHA,CRJ2
461F9A,OH-LZE,A321
3C4928,D-ABIH,B735
400BB2,G-CDEB,SB20
34341A,EC-LAV,B734
3C6506,D-AIHF,A346
4B8479,TC-ACY,A30B
406031,G-HMCA,
A7E1C2,N607FE,MD11
8960D4,A6-EBM,B77W
738044,4X-ELD,B744
400E6E,G-XLLL,AS50
3C4E52,D-ACRR,CRJ2
400AA7,G-EZEF,A319
A361EE,N317MJ,GLF4
342111,EC-IZK,A320
76CEE4,9V-SWD,B77W
449154,OO-DJT,RJ85
405D0E,G-EZDU,A319
00B0F2,ZS-SNH,A346
A3026F,N293UP,MD11
400658,G-BIKM,B752
869188,JA783A,B77W
04C037,5Y-KQS,B772
4CA4E3,EI-RJO,RJ85
A78546,N584FE,MD11
45ACC4,OY-KFD,CRJ9
4D020A,LX-FTA,F900
A7CF2F,N602FE,MD11
78037B,B-6093,A332
A78946,N585JC,GLF5
471621,HA-LOH,B738
45B645,OY-MRE,B737
71BD00,HL7500,B772
C81885,ZK-OKH,B772
760918,AP-BHX,B772
896111,A6-ECJ,B77W
A96ECB,N707CK,B742
8990D1,B-16701,B77W
504D51,ER-AXV,A320
600836,4K-AZ54,A320
A2A84C,N270UP,MD11
A2856E,N26123,B752
43C517,XZ651,LYNX
400FDB,G-EZBJ,A319
7C4831,VH-OJN,B744
468963,SX-BKC,B734
76CD64,9V-SKD,A388
738482,4X-BAW,B753
400D38,G-MOOO,LJ45
A18706,N198MR,FA50
400E5C,G-EZAZ,A319
4CC266,TF-CIB,B752
80037F,VT-JWE,A332
44D024,OO-TAD,B463
505E63,OM-ASC,B733
424099,VP-BRZ,A320
78013B,B-HOR,B744
4000BC,VP-BUZ,B763
78023F,B-KCK,GLF5
3D90B7,D-GBBB,DA42
A9A3C6,N720CH,B737
4BB5C2,TC-MNB,A30B
71003C,HZ-AKJ,B772
34218E,EC-HCH,SW4
A15EBC,N188DN,B763
392269,F-GITJ,B744
4CA2C5,EI-FXG,AT72
C049E8,C-GBZR,B763
A4DAD4,N41140,B752
AB4840,N826MH,B764
89507E,V8-RBF,B763
750030,9M-MPF,B744
AB048D,N809NW,A333
AAC136,N792UA,B772
3C6595,D-AILU,A319
A13748,N178DZ,B763
A98EDC,N715CK,B742
00B1F2,ZS-SXD,A343
A442A8,N374AA,B763
4A8034,SE-DMB,MD81
44010D,OE-LDD,A319
3CD2CE,D-CHDE,C560
484165,PH-BXM,B738
A9BF71,N727VJ,B721
47835C,LN-RCU,B736
40104B,G-OODM,C25A
401112,G-CEJD,P28A
4007FF,G-JCBJ,S76
400891,G-GFFI,B735
A76238,N575NR,C56X
4B1693,HB-IOH,A321
AA7170,N772LA,B77L
A96577,N704X,B752
4B187C,HB-JHC,A333
40134B,G-HGRC,C25A
AAAA92,N787AL,B772
43C3A1,ZH103,E3CF
44F502,CA-02,A310
AA632C,N769CC,CL60
AC3CB7,N888MY,C182
A46A27,N384AA,B763
A4AC65,N40XR,LJ45
440320,OE-GAK,C680
A8E425,N672LE,
400F22,G-MAJW,JS41
3C6502,D-AIHB,A346
40224E,G-MALC,AA5
ABE1E7,N865F,DC86
AAFFF9,N808E,
C061C8,C-GLAT,A310
43C09A,ZH888,C30J
400C5A,G-STRL,AS50
89607F,A6-EMV,B773
40124D,G-XBLU,C680
43C3A0,ZH102,E3CF
342458,EC-JTT,CRJ9
4011F4,G-SXTY,LJ60
402AE2,G-OALD,TRIN
A50BEA,N424QS,GLF4
4B0F56,HB-FVA,PC12
A1C7D6,N2136E,P28A
402901,G-BNHJ,C152
3C488E,D-ABDN,A320
4010D8,G-RGAP,C172
4D0219,LX-SVW,F2TH
3420CC,EC-IZR,A320
400F53,G-OWAR,P28A
506C03,S5-AAC,A320
4CA73A,EI-EBR,B738
4402CB,OE-IFB,CL60
A24DCE,N248AY,B762
8960D6,A6-EBO,B77W
C80D6A,ZK-NBT,B744
401B29,G-NERC,PA31
400E1E,G-PJLO,B763
47844A,LN-KKX,B733
43C0BF,ZH867,C30J
341683,EC-ILO,A321
A41AB6,N36362,C180
3965A1,F-GZNB,B77W
401291,G-BHWZ,P28A
4B293F,HB-PQD,P28A
4CA1FD,EI-DDK,B734
403E31,G-KEVB,P28A
3989E4,F-HCPE,P180
4010BE,G-BKII,C172
45C213,OY-PPS,PA34
3D3354,D-ERRO,P28R
400E61,G-BSXS,P28A
4912A2,CS-DUB,H25B
ABD2DA,N861DA,B772
A71D39,N558AX,B752
491304,CS-DXD,C56X
43C268,ZJ211,H64
43C173,ZZ173,C17
A04B1F,N118NH,BE33
400CA9,G-FIND,F406
A15BFF,N187PN,FA50
4054CF,G-CEWK,C172
06A00F,A7-AAG,A320
ABCA08,N859NW,A332
A47CBA,N389AA,B763
E47EF6,PR-BRW,B763
405052,G-EGAG,TRIN
49528F,CS-TTO,A319
AB80F4,N840MH,B764
4248F4,VQ-BBC,A320
AA5B89,N767A,B762
4840E4,PH-KZG,F70
A067FA,N125TM,CL30
400DC3,G-SASD,BE20
40593A,G-JCBB,GLF5
3C660B,D-AIPK,A320
4B0F0E,HB-FSG,PC12
06A01C,A7-HJJ,A332
4013AB,G-HOTB,EC55
8960C8,A6-EBA,B77W
A2B74D,N274WA,MD11
401159,G-BXNT,B06
8960E1,A6-EBZ,B77W
C061E9,C-GLCA,B763
4BA9C4,TC-JND,A332
AAAAAA,N787BK,B788
4011B4,G-FCUM,R44
7C4921,VH-OQB,A388
A3E885,N351AA,B763
3CD003,D-CGBR,LJ55
49130A,CS-DXJ,C56X
43C5C8,ZF622,PA31
780146,B-HUD,B744
400E55,G-GBMR,BE20
3B77DA,204,E3CF
4783A6,LN-SUV,C550
4001D1,VP-CBX,GLF5
4010E7,G-MAPP,C402
402B08,G-MOVI,P32R
405522,G-CEWN,DA42
4B1907,HB-JML,A343
478451,LN-KKY,B733
AB1D35,N815PA,GLEX
400D0C,G-BEJV,PA34
3965A5,F-GZNF,B77W
AB120B,N812NW,A333
A40978,N3596T,AC50
484618,PH-CHT,F2TH
39644E,F-GZCO,A332
47806E,LN-RPB,B736
342090,EC-ILR,A320
400CFB,G-GYMM,P28A
3C6DC9,D-AKNI,A319
400D4E,G-BOWE,PA34
44DC32,OO-WAR,P28A
4248EE,VQ-BAM,GLEX
710033,HZ-AKA,B772
8960E2,A6-EDA,A388
495288,CS-TTH,A319
4D0130,LX-FCV,B744
43C5BA,ZJ645,AJET
3C4942,D-ABJB,B735
A003F6,N10SL,GLEX
A93A65,N694JL,BE58
48418D,PH-BXS,B739
39500C,F-GUAM,E145
451E8F,LZ-FBF,A319
42407A,VP-BRU,B735
4016FE,G-AVLF,P28A
491112,CS-DHR,C550
40019A,VP-BOW,GLEX
400DA4,G-IFTF,H25B
3C4D66,D-ACKF,CRJ9
3C6581,D-AILA,A319
40111F,G-MAFT,DA40
4D0280,LX-PFD,PC12
4910D3,CS-DFS,C56X
3413CB,EC-HHA,A320
AE1165,02-0201,B737
4CA6BE,EI-LCM,TBM7
40425D,G-LAOL,P28T
461F6A,OH-LXI,A320
405595,G-SRDG,
34150F,EC-HTD,A320
A71A03,N557GA,GLF5
440344,OE-GVX,LJ40
4CA6DA,EI-DSS,A320
400AF4,G-DNOP,PA46
394A00,F-GSQA,B77W
71BC60,HL7460,B744
424197,VP-CHH,CL60
4056A2,G-CEYL,GLEX
AD48D2,N955SH,PA46
4010BC,G-INTO,PC12
3CE61A,D-COLE,SF34
01802B,5A-LAA,CRJ9
300165,I-BIME,A319
405EB2,G-ENIO,PTS2
AE03DC,165352,C130
896108,A6-ECA,B77W
391543,F-GFKD,A320
403BAB,G-LEAF,F406
47840C,LN-RRL,B738
4840E0,PH-BFV,B744
3C64F0,D-AIGP,A343
A00198,N1SF,GLF5
A04DA8,N119AF,GLF4
402280,G-OJVH,C150
8960CD,A6-EBF,B77W
40098B,G-MAJI,JS41
4400A5,OE-IEL,GLEX
49110D,CS-DHM,C550
45CE47,OY-SRG,B762
45C945,OY-RJE,CRJ2
404896,G-OJEH,P28A
78013A,B-HOP,B744
405FD0,G-OSRL,LJ45
343184,EC-KPX,A320
3C4E46,D-ACRF,CRJ2
A8DAEC,N67RX,GLEX
3C6650,D-AIRP,A321
451E8D,LZ-FBC,A320
4B1982,HB-JRE,CL60
4056F0,G-REYG,F900
3C4961,D-ABKA,B738
772000,4R-ADB,A343
40126B,G-CERX,H25B
43C2A2,XW236,PUMA
3C7067,D-ALCG,MD11
400663,G-BMRA,B752
3C6306,D-AHXF,B737
3CE7AA,D-CPAO,C25B
760917,AP-BHW,B77W
45AC52,OY-KBR,A319
4053A5,G-OJWB,H25B
484555,PH-BXW,B738
400850,G-FIZU,L188
780019,B-6092,A332
896134,A6-SSV,E135
78015F,B-HXE,A343
A36659,N318UP,B763
89403D,A9C-LH,A343
A2C9BB,N279UP,MD11
89611A,A6-ECS,B77W
3C7069,D-ALCI,MD11
896115,A6-ECN,B77W
45CE4B,OY-SRK,B762
71BD97,HL7597,B772
44D028,OO-TAH,B463
3C4D6C,D-ACKL,CRJ9
AC1DC6,N88ZL,B703
495292,CS-TTR,A319
3C48A1,D-ABEA,B733
A35B34,N315UP,B763
8990D9,B-16710,B77W
5080D5,UR-DWD,AN26
78014B,B-HUI,B744
A11780,N17GX,GLEX
3CF601,D-CULT,D228
400666,G-BMRD,B752
4B8DAB,TC-CMK,CL60
A7B07C,N595FE,MD11
405EC3,G-CFMC,RV9
ADFDAB,90-0300,GLF4
3C4AA8,D-ABUH,B763
A35374,N313RG,GLF5
A1534C,N185AN,B752
A79B46,N59CF,
A34C58,N311UP,B763
A1F557,N225UA,B772
A19B48,N202UW,B752
A3EFF3,N353AA,B763
7801CE,B-HKF,B744
7801D0,B-HKJ,B744
AADB37,N799UA,B772
396019,F-GYAZ,A321
A144BB,N181DN,B763
A96C96,N706TW,B752
7101D3,HZ-KSDC,F2TH
3C4AD2,D-ABVR,B744
A92D6D,N69020,B772
4D020F,LX-GVV,B737
4B16BB,HB-IPV,A319
44F4A1,CE-01,E135
47831E,LN-RPW,B736
4B173B,HB-IUT,GALX
405F3A,G-EXRS,GLEX
392AE5,F-GKXF,A320
3C4ACF,D-ABVO,B744
A0F815,N1612T,B763
405CEE,G-WTOR,F900
400E29,G-OLDW,LJ45
4B38BA,HB-VMO,C560
3000CE,I-BIKF,A320
44B28D,OO-LTM,B733
49D0A6,OK-DGN,B734
400CA5,G-WOWD,DH8C
A97639,N709CK,B741
3949E6,F-GSPG,B772
400BB4,G-JJSI,H25B
06A031,A7-AEA,A333
A9C5C2,N729HZ,CL60
44F4A4,CE-04,E145
3CE3B3,D-CNNN,C56X
461F62,OH-LXA,A320
A17B16,N195DN,B763
401132,G-XBEL,C560
484350,P4-SAI,CL60
39B458,F-HNCY,PRM1
4692D9,SX-DVY,A320
C07444,C-GSAT,A310
400681,G-BYOM,S76
47805D,LN-BUD,B735
34150E,EC-IGK,A321
A1AA24,N206UW,B752
AE07B6,62-3519,K35R
43C198,ZH869,C30J
4BAA45,TC-JRE,A321
AA305F,N756AM,B772
4401D1,OE-IDX,F900
A26A28,N255AY,B762
40588B,G-LCYC,RJ85
400D4F,G-BSRR,C182
89607C,A6-EMS,B773
4840EC,PH-BPB,B734
43C2F8,XS737,H25A
45C261,OY-PSA,B738
AA44CD,N76062,B764
A0A91E,N14120,B752
400B14,G-FRYL,PRM1
4B16C2,HB-IQC,A332
4492EC,OO-DWL,RJ1H
43E755,M-TEAM,C525
394A02,F-GSQC,B77W
396444,F-GZCE,A332
A988F0,N713TW,B752
06A036,A7-AFM,A332
47836E,LN-RRY,B736
4CA1F6,EI-DAZ,B738
A90A17,N68159,B762
401141,G-DOLF,AS65
403F74,G-SIXD,PA32
A45B57,N380AN,B763
AC62B9,N8977Y,PA30
400C33,G-BHLX,AA5
A48A44,N392AN,B763
A2AE01,N272AY,A333
ABD018,N860NW,A332
3412CB,EC-HKQ,B738
495285,CS-TTE,A319
4403A4,OE-INP,CL60
400A73,G-VIPA,C182
3412C8,EC-HGQ,B738
A39A9C,N331MC,F900
40112F,G-WACJ,BE76
A06F22,N127QS,B737
50801F,UR-82072,A124
4241A8,VP-CMO,R722
484071,PH-BTF,B734
3C6588,D-AILH,A319
3000AF,I-DAVA,MD82
A7DF3B,N606TJ,F2TH
300179,I-DISD,B772
018024,5A-IAY,A306
43E7A0,M-ARTY,PC12
A4E391,N414FZ,C414
400191,VP-BNM,S76
4CA269,EI-DIR,A332
A9766C,N709EL,BE40
3E5BEE,D-IZZY,P180
401086,G-POWB,BE30
401166,G-CLOW,BE20
8960C4,A6-KNH,CL30
495198,CS-TLX,B752
50806B,UR-GAJ,B735
3A24C5,F-OJGF,A343
4CA208,EI-DDW,B763
3CE8E8,D-CPMU,LJ60
405929,G-FBLK,C510
00A7F9,ZS-PCY,H25B
400DB8,G-CEGR,BE20
3985D8,F-HBOY,A310
8961A5,A6-EYP,A332
A4A08E,N398AN,B763
40005E,VP-CSF,GLF4
A1EA14,N222SW,SR22
780219,B-LIC,B744
4CA262,EI-DIP,A332
3C6518,D-AIHX,A346
A77C11,N58101,B752
3C7072,D-ALCR,MD11
491249,CS-DRI,H25B
49125A,CS-DRZ,H25B
4403D0,OE-GKM,C56X
4007DB,G-RJXB,E145
AD8ECD,N973AC,C680
468974,SX-BKT,B734
3C0C92,D-ATTT,CL60
3949E1,F-GSPB,B772
396449,F-GZCJ,A332
ADE5D3,N995GG,GLF4
4B18FD,HB-JMB,A343
40226F,G-TOTO,C177
4911B9,CS-DMY,BE40
478662,LN-NOS,B738
4912A8,CS-DUH,H25B
AE079F,58-0093,K35R
43E72B,M-RURU,F900
43C50F,XZ617,LYNX
400956,G-REYS,CL60
43E71D,M-MANX,C421
43C2F5,XS730,H25A
400140,VP-BWD,A320
01802F,5A-ONB,A320
400FF0,G-OCCH,DA40
400B4D,G-VUEA,C550
4C01A9,YU-ANJ,B733
4692CD,SX-DVM,A320
3413CA,EC-HGZ,A320
49528D,CS-TTM,A319
3C4E4F,D-ACRO,CRJ2
4001F3,VP-CED,C550
3C6519,D-AIHY,A346
401EA6,G-BHXK,P28A
34150D,EC-HTC,A320
7101BA,HZ-AB3,B722
A8E296,N67157,B762
44C24D,OO-PRM,C510
3C6613,D-AIPS,A320
40068D,G-BXAS,RJ1H
300176,I-DISO,B772
405924,G-NGEL,C510
3E4896,D-ISRM,C510
44010C,OE-LVH,F100
A74D0F,N57LE,GLEX
C02201,C-FMWU,B763
34134D,EC-HUH,A321
43E73D,M-RLIV,CL60
40125F,G-ELLA,P32R
39154D,F-GFKN,A320
400A42,G-GSSC,B744
A11AD2,N170SW,GLEX
3949E7,F-GSPH,B772
406142,G-HLOB,C172
404F6C,G-LUDM,RV8
47340C,HA-LPL,A320
A2594E,N250UP,MD11
392242,F-GISC,B744
342194,EC-JFF,A320
342488,EC-JYC,SW4
86781E,JA710J,B772
401056,G-JETF,F2TH
401111,G-BYCP,BE20
4CA703,EI-EBF,B738
A15ABA,N187AN,B752
43C263,ZJ206,H64
401B07,G-BBPP,P28A
473411,HA-LPR,A320
4B190A,HB-JMO,A343
48AD02,SP-LIC,E170
3C4E13,D-ACPS,CRJ7
3946EC,F-GRXM,A319
71BC38,HL7438,B744
392AED,F-GKXN,A320
478327,LN-ROS,MD82
A811C9,N619SM,F2TH
3CC55A,D-CCAS,SH36
010026,SU-GBN,A342
76CEEB,9V-SWK,B77W
392F31,F-GLZR,A343
4B1621,HB-IJX,A320
3949E0,F-GSPA,B772
A7A90E,N593FE,MD11
00B0F0,ZS-SNF,A346
502C44,YL-BBN,B735
00412D,Z-WPF,B762
400664,G-BMRB,B752
4492EA,OO-DWJ,RJ1H
48448F,P4-MSG,E135
867F82,JA732A,B77W
400C6C,G-VIPV,PA31
392280,F-GIUA,B744
400E2D,G-TRAT,PC12
A2B371,N273UP,MD11
A6A728,N528FE,MD11
49D069,OK-FGR,B734
3C6307,D-AHXG,B737
40132F,G-SPNA,B763
478480,LN-NOB,B738
48403B,PH-BDW,B734
4841B9,PH-KZP,F70
15407C,RA-82044,A124
710038,HZ-AKF,B772
4783F1,LN-KKR,B733
478013,LN-BRK,B735
800497,VT-VJL,A332
4492E3,OO-DWC,RJ1H
3E1CC6,D-ICCC,F406
71BF39,HL7739,B772
45CE4D,OY-SRM,B762
4000DF,VP-BNL,GLF5
ABA53C,N85CL,F900
A2C802,N279AY,A332
A7FE1C,N614FE,MD11
4BA929,TC-JII,A343
A13AF4,N179DN,B763
A21FF6,N236N,CL60
AB8862,N842MH,B764
AA2310,N752SJ,B763
80000B,VT-ESN,B744
A1245F,N173AN,B752
A3C3E6,N34137,B752
040016,ET-ALP,B763
A96B14,N706CK,B742
71020B,HZ-KSRD,H25B
AAF1FA,N804NW,A333
A68096,N518QS,GLF5
406016,G-EZTM,A320
484B28,PH-TFC,B738
4D03CD,LX-N90455,E3TF
A12C18,N175DN,B763
AA92F9,N78002,B772
48ADE5,SP-LPF,B763
AAD213,N797AN,B772
AAF968,N806NW,A333
A0CCB8,N1501P,B763
34138E,EC-HDT,A320
341583,EC-IDT,B738
3A4585,F-ORMF,A321
AA5F41,N768AA,B772
3C6503,D-AIHC,A346
43C12D,XV221,C130
3926B6,F-GJVW,A320
4B160E,HB-IJE,A320
3C6669,D-AISI,A321
4CA301,EI-DLV,B738
A984D0,N712PR,CL60
3C48AE,D-ABEN,B733
5081CE,UR-VVT,B763
76CE01,9V-SPA,B744
4059D6,G-CFBX,BE9L
A3C4C9,N342AN,B763
A45F0E,N381AN,B763
3C6562,D-AIKB,A333
3C4E05,D-ACPE,CRJ7
ACA0C4,N9122N,PA46
4CA136,EI-CUN,B734
3C48B2,D-ABER,B733
400C1A,G-BYDF,S76
48405D,PH-BFR,B744
4056BE,G-WLVS,F2TH
505CF0,OM-NGP,B737
A1D18F,N216UA,B772
AE080B,99-0165,C17
AA93C9,N78060,B764
4492E5,OO-DWE,RJ1H
A11F9D,N17122,B752
06A053,A7-BAB,B77W
3C4D69,D-ACKI,CRJ9
896119,A6-ECR,B77W
402AA2,G-BOHO,P28A
A69CD2,N525PM,C25A
440039,OE-LBD,A321
484380,PH-OFE,F100
4D02A7,LX-JFQ,PC12
A4B433,N402BL,BE9T
89612C,A6-ETB,B77W
48ADE6,SP-LPG,B763
30028C,I-EEZM,A332
4B38ED,HB-VON,C560
0D0282,XA-OAM,B762
3C4E4D,D-ACRM,CRJ2
40124F,G-BERI,AC11
71003A,HZ-AKH,B772
4C066D,YU-BTN,C25B
342412,EC-JVM,LJ60
A0F4F6,N16065,B763
3949EE,F-GSPO,B772
404E6D,G-TSUE,EUPA
A482CA,N390AA,B763
4911AD,CS-DMM,BE40
403B41,G-YAKU,YK50
45C265,OY-PSE,B738
43C127,ZG995,BN2T
44A88B,OO-JDK,C525
405C7F,G-ODCM,C25B
A11F5A,N17105,B752
A2B1B8,N273AY,A333
300390,I-NEOW,B738
4248F5,VQ-BBD,A319
A7210C,N559C,PA34
401979,G-AZRA,B209
341141,EC-ISY,B752
A45190,N378AN,B763
50813C,UR-GAU,B735
A6372A,N5VS,GLF5
400C2A,G-ATHR,P28A
4D00FC,LX-LGJ,E145
49124A,CS-DRJ,H25B
4910D2,CS-DFR,C56X
A96B30,N706DN,B772
51002A,EW-250PA,B735
7C3803,VH-LCL,DH8B
A18BF1,N199ZZ,SR22
405F9C,G-MENU,R44
A9347E,N6920B,PA34
424155,VP-CMI,F2TH
47801E,LN-RMT,MD81
A4063D,N359AA,B763
34268F,EC-KKK,C560
491316,CS-DXV,C56X
710039,HZ-AKG,B772
4A08E1,YR-BGA,B733
43C2A3,XW237,PUMA
4910D6,CS-DFV,C56X
AB34C7,N821CC,SR22
39644B,F-GZCL,A332
396441,F-GZCB,A332
780150,B-HUO,B744
39850B,F-HBIL,A332
393505,F-GNIF,A343
4911B7,CS-DMW,BE40
3E1C92,D-ICAC,C551
A00C42,N102BG,GLF5
4911D7,CS-DNW,C56X
34338D,EC-KYZ,A320
34150A,EC-HTA,A320
3420CB,EC-IZH,A320
78015E,B-HXD,A343
401152,G-JECX,DH8D
4B197F,HB-JRB,CL60
451E90,LZ-FBE,A320
495287,CS-TTG,A319
4403BF,OE-GVM,LJ45
40105C,G-AVGA,PA24
400F26,G-MAJZ,JS41
49D0B4,OK-XGE,B735
C078AC,C-GTSD,A310
40100B,G-EDCK,C525
4010A5,G-BNJR,P28T
76CEEF,9V-SWO,B77W
89911E,B-18710,B744
3C6508,D-AIHH,A346
3414CB,EC-HQL,A320
76089A,AP-BDZ,A310
43C0DB,ZH881,C30J
4CA708,EI-EBL,B738
400E97,G-BYWU,G115
4011C1,G-CTCH,DA42
424918,VQ-BDD,A318
40093B,G-CJAD,C525
710017,HZ-AIX,B744
3A1D34,F-OHJU,AT72
4057DD,G-PIMP,R44
342396,EC-JSY,A320
A78CB4,N586FE,MD11
44B0B4,OO-LET,BE20
0A0049,7T-VKA,B738
43E717,M-ELON,C25B
401183,G-GIBB,R44
A9B98F,N7258,C72R
489443,SP-LPC,B763
4912A4,CS-DUD,H25B
400F2A,G-MPSC,BK17
A22617,N2379C,C182
A309DD,N295UP,MD11
A91774,N685TA,GLF5
391553,F-GFKT,A320
