icao24,r,t
400B82,G-DBCD,A319
4004CE,G-DOCF,B734
405FB6,G-COBO,AT72
40041C,G-BNWB,B763
400B27,G-CELG,B733
400D70,G-OSPY,SR20
400CB4,G-WLDN,R44
4004C5,G-BNLW,B744
405C0F,G-ECOW,DH8D
405FD5,G-ECOT,DH8D
400834,G-MIDX,A320
400568,G-VFAB,B744
4008F9,G-VROM,B744
4007E5,G-OZBM,A321
3410C7,EC-FDB,A320
4009F5,G-DHRG,A320
4010DA,G-EUXJ,A321
4CA4EC,EI-DPH,B738
405FB5,G-VZON,
4007B5,G-FCLF,B752
405858,G-KKEV,DH8D
4010DD,G-EUXM,A321
40093E,G-EUOE,A319
4A80A0,SE-DIK,MD82
400BD9,G-EJJB,A319
4006BE,G-CPES,B752
404E3B,G-CDND,GA7
4CA2DB,EI-DLO,B738
4CA0BC,EI-CPC,A321
4CA214,EI-DEE,A320
400590,G-MPCD,A320
3C7204,D-ALPD,A332
4CA6A9,EI-DYV,B738
400416,G-BUSG,A320
40078A,G-OOBG,B752
4011C2,G-JORD,R44
400982,G-EUUG,A320
40076C,G-SMAN,A332
A1D546,N217UA,B772
400FE3,G-EZBT,A319
400471,G-DAJB,B752
40057E,G-CIVE,B744
4009DE,G-OOBD,B752
400A7E,G-OZBH,A321
4CA2CB,EI-DER,A320
40068F,G-CIVN,B744
405D10,G-EZDW,A319
400EFF,G-EZBE,A319
461F2E,OH-LVA,A319
7608EA,AP-BGJ,B772
4692D2,SX-DVR,A320
400EFC,G-EZBB,A319
C021FD,C-FMWQ,B763
400A51,G-EZKC,B737
405A48,G-EUUZ,A320
400682,G-BWWT,D328
400A35,G-CELE,B733
400A25,G-EUUP,A320
8960DC,A6-EBU,B77W
400754,G-BYAX,B752
40123F,G-EUUS,A320
402EE9,G-BRDM,P28A
400677,G-VTOP,B744
ABD3CF,N861NW,A332
E48189,PT-MUA,B77W
4AC916,SE-RHV,B733
4009AC,G-EZJS,B737
405BFB,G-YMMR,B772
3C6654,D-AIRT,A321
400A02,G-OZBG,A321
400DDC,G-JECJ,DH8D
400AFC,G-EUXD,A321
400561,G-GBTA,B734
405F09,G-EZFA,A319
3C6DC7,D-AKNG,A319
4951C9,CS-TNI,A320
405D0F,G-EZDV,A319
4008B3,G-EUPS,A319
4009B3,G-VATL,A346
8960E5,A6-EDD,A388
3CC644,D-CCJS,C680
400B2D,G-SHUG,P28A
478461,LN-KKZ,B733
400AF7,G-EZAM,A319
400598,G-BVKD,B735
A49136,N39365,B763
400A14,G-EZJZ,B737
400B44,G-CELI,B733
3949E2,F-GSPC,B772
AB1A3D,N814WS,C510
4010DC,G-EUXL,A321
400878,G-EUPH,A319
34148A,EC-HUJ,A320
894036,A9C-LI,A343
4CA1C3,EI-DAL,B738
40061A,G-FCLD,B752
4009DA,G-EUUM,A320
400832,G-OZBO,A321
42417B,VP-CGD,F900
30028B,I-EEZL,A332
4008C8,G-FIRM,C550
4CA6C6,EI-MJC,C25B
4007EF,G-YMMD,B772
4007F9,G-YMMN,B772
401100,G-CEJO,B738
400DF6,G-JECL,DH8D
3C4E48,D-ACRH,CRJ2
40092F,G-JEDJ,DH8D
400DAF,G-EZAK,A319
401077,G-LSAG,B752
4004C7,G-BNLY,B744
4951CB,CS-TNK,A320
49D0A3,OK-XGC,B735
46D125,SX-TIE,B742
400FF2,G-FDZA,B738
400C4B,G-EZII,A319
40100A,G-JECR,DH8D
4006BD,G-CPER,B752
400A30,G-TCDA,A321
46008C,OH-AFK,B752
4CA736,EI-EBM,B738
401229,G-FBEF,E190
40067C,G-OMYJ,A321
406020,G-FRZN,A109
896145,A6-EHB,A345
342591,EC-KHN,A320
7101F2,HZ-ARK,GLF5
4004ED,G-DOCO,B734
018046,5A-LAE,CRJ9
400D89,G-MEDL,A321
400614,G-CIVL,B744
A7E648,N608PM,GLF4
400C54,G-TCAC,A320
4010EC,G-EZBX,A319
400B46,G-CELK,B733
341687,EC-IMU,A320
A98391,N712AX,B762
400573,G-BYAT,B752
40087B,G-EUPL,A319
400AFD,G-EUXE,A321
40543F,G-FBEI,E190
400A7D,G-DBCB,A319
400A15,G-EZKA,B737
40041D,G-BNWC,B763
400423,G-BNWI,B763
4CA5D8,EI-RJV,RJ85
40109D,G-SEFC,B737
4008F2,G-EUPY,A319
400E06,G-MAJP,JS41
400A2B,G-JEDN,DH8D
4CA562,EI-DPW,B738
400AEE,G-OOBI,B752
394727,F-GRZH,CRJ7
4CA61C,EI-DWO,B738
